2010-05-01 19:06:07 startup archives unpack
2010-05-01 19:06:47 status half-configured language-pack-gnome-en-base 1:10.04+20100421
2010-05-01 19:06:47 status unpacked language-pack-gnome-en-base 1:10.04+20100421
2010-05-01 19:06:47 status half-installed language-pack-gnome-en-base 1:10.04+20100421
2010-05-01 19:06:47 status half-installed language-pack-gnome-en-base 1:10.04+20100421
2010-05-01 19:07:21 status half-installed language-pack-gnome-en-base 1:10.04+20100421
2010-05-01 19:07:21 status unpacked language-pack-gnome-en-base 1:10.04+20100422
2010-05-01 19:07:22 status unpacked language-pack-gnome-en-base 1:10.04+20100422
2010-05-01 19:07:22 upgrade language-pack-ro 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:22 status half-configured language-pack-ro 1:10.04+20100421
2010-05-01 19:07:22 status unpacked language-pack-ro 1:10.04+20100421
2010-05-01 19:07:22 status half-installed language-pack-ro 1:10.04+20100421
2010-05-01 19:07:22 status half-installed language-pack-ro 1:10.04+20100421
2010-05-01 19:07:22 status half-installed language-pack-ro 1:10.04+20100421
2010-05-01 19:07:22 status unpacked language-pack-ro 1:10.04+20100422
2010-05-01 19:07:22 status unpacked language-pack-ro 1:10.04+20100422
2010-05-01 19:07:23 upgrade language-pack-ro-base 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:23 status half-configured language-pack-ro-base 1:10.04+20100421
2010-05-01 19:07:23 status unpacked language-pack-ro-base 1:10.04+20100421
2010-05-01 19:07:23 status half-installed language-pack-ro-base 1:10.04+20100421
2010-05-01 19:07:23 status half-installed language-pack-ro-base 1:10.04+20100421
2010-05-01 19:07:31 status half-installed language-pack-ro-base 1:10.04+20100421
2010-05-01 19:07:31 status unpacked language-pack-ro-base 1:10.04+20100422
2010-05-01 19:07:31 status unpacked language-pack-ro-base 1:10.04+20100422
2010-05-01 19:07:31 upgrade language-pack-gnome-ro 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:31 status half-configured language-pack-gnome-ro 1:10.04+20100421
2010-05-01 19:07:31 status unpacked language-pack-gnome-ro 1:10.04+20100421
2010-05-01 19:07:31 status half-installed language-pack-gnome-ro 1:10.04+20100421
2010-05-01 19:07:31 status half-installed language-pack-gnome-ro 1:10.04+20100421
2010-05-01 19:07:32 status half-installed language-pack-gnome-ro 1:10.04+20100421
2010-05-01 19:07:32 status unpacked language-pack-gnome-ro 1:10.04+20100422
2010-05-01 19:07:32 status unpacked language-pack-gnome-ro 1:10.04+20100422
2010-05-01 19:07:32 upgrade language-pack-gnome-ro-base 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:32 status half-configured language-pack-gnome-ro-base 1:10.04+20100421
2010-05-01 19:07:32 status unpacked language-pack-gnome-ro-base 1:10.04+20100421
2010-05-01 19:07:32 status half-installed language-pack-gnome-ro-base 1:10.04+20100421
2010-05-01 19:07:32 status half-installed language-pack-gnome-ro-base 1:10.04+20100421
2010-05-01 19:07:45 status half-installed language-pack-gnome-ro-base 1:10.04+20100421
2010-05-01 19:07:45 status unpacked language-pack-gnome-ro-base 1:10.04+20100422
2010-05-01 19:07:45 status unpacked language-pack-gnome-ro-base 1:10.04+20100422
2010-05-01 19:07:45 upgrade language-pack-ru 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:45 status half-configured language-pack-ru 1:10.04+20100421
2010-05-01 19:07:45 status unpacked language-pack-ru 1:10.04+20100421
2010-05-01 19:07:45 status half-installed language-pack-ru 1:10.04+20100421
2010-05-01 19:07:45 status half-installed language-pack-ru 1:10.04+20100421
2010-05-01 19:07:46 status half-installed language-pack-ru 1:10.04+20100421
2010-05-01 19:07:46 status unpacked language-pack-ru 1:10.04+20100422
2010-05-01 19:07:46 status unpacked language-pack-ru 1:10.04+20100422
2010-05-01 19:07:46 upgrade language-pack-ru-base 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:46 status half-configured language-pack-ru-base 1:10.04+20100421
2010-05-01 19:07:46 status unpacked language-pack-ru-base 1:10.04+20100421
2010-05-01 19:07:46 status half-installed language-pack-ru-base 1:10.04+20100421
2010-05-01 19:07:46 status half-installed language-pack-ru-base 1:10.04+20100421
2010-05-01 19:07:59 status half-installed language-pack-ru-base 1:10.04+20100421
2010-05-01 19:07:59 status unpacked language-pack-ru-base 1:10.04+20100422
2010-05-01 19:07:59 status unpacked language-pack-ru-base 1:10.04+20100422
2010-05-01 19:07:59 upgrade language-pack-gnome-ru 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:07:59 status half-configured language-pack-gnome-ru 1:10.04+20100421
2010-05-01 19:07:59 status unpacked language-pack-gnome-ru 1:10.04+20100421
2010-05-01 19:07:59 status half-installed language-pack-gnome-ru 1:10.04+20100421
2010-05-01 19:07:59 status half-installed language-pack-gnome-ru 1:10.04+20100421
2010-05-01 19:08:00 status half-installed language-pack-gnome-ru 1:10.04+20100421
2010-05-01 19:08:00 status unpacked language-pack-gnome-ru 1:10.04+20100422
2010-05-01 19:08:00 status unpacked language-pack-gnome-ru 1:10.04+20100422
2010-05-01 19:08:00 upgrade language-pack-gnome-ru-base 1:10.04+20100421 1:10.04+20100422
2010-05-01 19:08:00 status half-configured language-pack-gnome-ru-base 1:10.04+20100421
2010-05-01 19:08:00 status unpacked language-pack-gnome-ru-base 1:10.04+20100421
2010-05-01 19:08:00 status half-installed language-pack-gnome-ru-base 1:10.04+20100421
2010-05-01 19:08:00 status half-installed language-pack-gnome-ru-base 1:10.04+20100421
2010-05-01 19:08:20 status half-installed language-pack-gnome-ru-base 1:10.04+20100421
2010-05-01 19:08:20 status unpacked language-pack-gnome-ru-base 1:10.04+20100422
2010-05-01 19:08:20 status unpacked language-pack-gnome-ru-base 1:10.04+20100422
2010-05-01 19:08:20 install linux-image-2.6.32-22-generic <none> 2.6.32-22.33
2010-05-01 19:08:20 status half-installed linux-image-2.6.32-22-generic 2.6.32-22.33
2010-05-01 19:09:05 status unpacked linux-image-2.6.32-22-generic 2.6.32-22.33
2010-05-01 19:09:05 status unpacked linux-image-2.6.32-22-generic 2.6.32-22.33
2010-05-01 19:09:05 upgrade acpid 1.0.10-5ubuntu2 1.0.10-5ubuntu2.1
2010-05-01 19:09:05 status half-configured acpid 1.0.10-5ubuntu2
2010-05-01 19:09:05 status unpacked acpid 1.0.10-5ubuntu2
2010-05-01 19:09:05 status half-installed acpid 1.0.10-5ubuntu2
2010-05-01 19:09:05 status triggers-pending ureadahead 0.100.0-4.1
2010-05-01 19:09:05 status half-installed acpid 1.0.10-5ubuntu2
2010-05-01 19:09:05 status triggers-pending ureadahead 0.100.0-4.1
2010-05-01 19:09:05 status half-installed acpid 1.0.10-5ubuntu2
2010-05-01 19:09:06 status half-installed acpid 1.0.10-5ubuntu2
2010-05-01 19:09:06 status unpacked acpid 1.0.10-5ubuntu2.1
2010-05-01 19:09:06 status unpacked acpid 1.0.10-5ubuntu2.1
2010-05-01 19:09:06 upgrade gnome-control-center 1:2.30.0-0ubuntu4 1:2.30.1-0ubuntu1
2010-05-01 19:09:06 status half-configured gnome-control-center 1:2.30.0-0ubuntu4
2010-05-01 19:09:06 status unpacked gnome-control-center 1:2.30.0-0ubuntu4
2010-05-01 19:09:06 status half-installed gnome-control-center 1:2.30.0-0ubuntu4
2010-05-01 19:09:07 status half-installed gnome-control-center 1:2.30.0-0ubuntu4
2010-05-01 19:09:08 status half-installed gnome-control-center 1:2.30.0-0ubuntu4
2010-05-01 19:09:08 status unpacked gnome-control-center 1:2.30.1-0ubuntu1
2010-05-01 19:09:08 status unpacked gnome-control-center 1:2.30.1-0ubuntu1
2010-05-01 19:09:09 upgrade capplets-data 1:2.30.0-0ubuntu4 1:2.30.1-0ubuntu1
2010-05-01 19:09:09 status half-configured capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:15 status unpacked capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:15 status half-installed capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:15 status half-installed capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:15 status half-installed capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:15 status triggers-pending shared-mime-info 0.71-1ubuntu2
2010-05-01 19:09:15 status half-installed capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:15 status half-installed capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:21 status half-installed capplets-data 1:2.30.0-0ubuntu4
2010-05-01 19:09:21 status unpacked capplets-data 1:2.30.1-0ubuntu1
2010-05-01 19:09:21 status unpacked capplets-data 1:2.30.1-0ubuntu1
2010-05-01 19:09:21 upgrade libgnome-window-settings1 1:2.30.0-0ubuntu4 1:2.30.1-0ubuntu1
2010-05-01 19:09:21 status half-configured libgnome-window-settings1 1:2.30.0-0ubuntu4
2010-05-01 19:09:21 status unpacked libgnome-window-settings1 1:2.30.0-0ubuntu4
2010-05-01 19:09:21 status half-installed libgnome-window-settings1 1:2.30.0-0ubuntu4
2010-05-01 19:09:22 status half-installed libgnome-window-settings1 1:2.30.0-0ubuntu4
2010-05-01 19:09:22 status unpacked libgnome-window-settings1 1:2.30.1-0ubuntu1
2010-05-01 19:09:22 status unpacked libgnome-window-settings1 1:2.30.1-0ubuntu1
2010-05-01 19:09:22 upgrade gnome-settings-daemon 2.30.0-0ubuntu6 2.30.1-0ubuntu1
2010-05-01 19:09:22 status half-configured gnome-settings-daemon 2.30.0-0ubuntu6
2010-05-01 19:09:29 status unpacked gnome-settings-daemon 2.30.0-0ubuntu6
2010-05-01 19:09:29 status half-installed gnome-settings-daemon 2.30.0-0ubuntu6
2010-05-01 19:09:29 status half-installed gnome-settings-daemon 2.30.0-0ubuntu6
2010-05-01 19:09:29 status half-installed gnome-settings-daemon 2.30.0-0ubuntu6
2010-05-01 19:09:31 status half-installed gnome-settings-daemon 2.30.0-0ubuntu6
2010-05-01 19:09:32 status unpacked gnome-settings-daemon 2.30.1-0ubuntu1
2010-05-01 19:09:32 status unpacked gnome-settings-daemon 2.30.1-0ubuntu1
2010-05-01 19:09:32 upgrade ubuntu-system-service 0.1.20 0.1.20.1
2010-05-01 19:09:32 status half-configured ubuntu-system-service 0.1.20
2010-05-01 19:09:32 status unpacked ubuntu-system-service 0.1.20
2010-05-01 19:09:33 status half-installed ubuntu-system-service 0.1.20
2010-05-01 19:09:33 status half-installed ubuntu-system-service 0.1.20
2010-05-01 19:09:33 status unpacked ubuntu-system-service 0.1.20.1
2010-05-01 19:09:34 status unpacked ubuntu-system-service 0.1.20.1
2010-05-01 19:09:34 upgrade cheese-common 2.30.0-0ubuntu2 2.30.1-0ubuntu1
2010-05-01 19:09:34 status half-configured cheese-common 2.30.0-0ubuntu2
2010-05-01 19:09:40 status unpacked cheese-common 2.30.0-0ubuntu2
2010-05-01 19:09:40 status half-installed cheese-common 2.30.0-0ubuntu2
2010-05-01 19:09:40 status half-installed cheese-common 2.30.0-0ubuntu2
2010-05-01 19:09:45 status half-installed cheese-common 2.30.0-0ubuntu2
2010-05-01 19:09:45 status unpacked cheese-common 2.30.1-0ubuntu1
2010-05-01 19:09:45 status unpacked cheese-common 2.30.1-0ubuntu1
2010-05-01 19:09:45 upgrade libcheese-gtk18 2.30.0-0ubuntu2 2.30.1-0ubuntu1
2010-05-01 19:09:45 status half-configured libcheese-gtk18 2.30.0-0ubuntu2
2010-05-01 19:09:45 status unpacked libcheese-gtk18 2.30.0-0ubuntu2
2010-05-01 19:09:45 status half-installed libcheese-gtk18 2.30.0-0ubuntu2
2010-05-01 19:09:46 status half-installed libcheese-gtk18 2.30.0-0ubuntu2
2010-05-01 19:09:46 status unpacked libcheese-gtk18 2.30.1-0ubuntu1
2010-05-01 19:09:46 status unpacked libcheese-gtk18 2.30.1-0ubuntu1
2010-05-01 19:09:46 upgrade cheese 2.30.0-0ubuntu2 2.30.1-0ubuntu1
2010-05-01 19:09:46 status half-configured cheese 2.30.0-0ubuntu2
2010-05-01 19:09:46 status unpacked cheese 2.30.0-0ubuntu2
2010-05-01 19:09:46 status half-installed cheese 2.30.0-0ubuntu2
2010-05-01 19:09:46 status half-installed cheese 2.30.0-0ubuntu2
2010-05-01 19:09:47 status half-installed cheese 2.30.0-0ubuntu2
2010-05-01 19:09:47 status half-installed cheese 2.30.0-0ubuntu2
2010-05-01 19:09:47 status half-installed cheese 2.30.0-0ubuntu2
2010-05-01 19:09:47 status unpacked cheese 2.30.1-0ubuntu1
2010-05-01 19:09:47 status unpacked cheese 2.30.1-0ubuntu1
2010-05-01 19:09:47 upgrade libsoup2.4-dev 2.30.0-0ubuntu1 2.30.1-0ubuntu1
2010-05-01 19:09:47 status half-configured libsoup2.4-dev 2.30.0-0ubuntu1
2010-05-01 19:09:47 status unpacked libsoup2.4-dev 2.30.0-0ubuntu1
2010-05-01 19:09:47 status half-installed libsoup2.4-dev 2.30.0-0ubuntu1
2010-05-01 19:09:49 status half-installed libsoup2.4-dev 2.30.0-0ubuntu1
2010-05-01 19:09:49 status unpacked libsoup2.4-dev 2.30.1-0ubuntu1
2010-05-01 19:09:49 status unpacked libsoup2.4-dev 2.30.1-0ubuntu1
2010-05-01 19:09:49 upgrade libsoup2.4-1 2.30.0-0ubuntu1 2.30.1-0ubuntu1
2010-05-01 19:09:49 status half-configured libsoup2.4-1 2.30.0-0ubuntu1
2010-05-01 19:09:49 status unpacked libsoup2.4-1 2.30.0-0ubuntu1
2010-05-01 19:09:49 status half-installed libsoup2.4-1 2.30.0-0ubuntu1
2010-05-01 19:09:50 status half-installed libsoup2.4-1 2.30.0-0ubuntu1
2010-05-01 19:09:50 status unpacked libsoup2.4-1 2.30.1-0ubuntu1
2010-05-01 19:09:50 status unpacked libsoup2.4-1 2.30.1-0ubuntu1
2010-05-01 19:09:50 upgrade nautilus-sendto-empathy 2.30.0.1-0ubuntu3 2.30.1-0ubuntu1
2010-05-01 19:09:50 status half-configured nautilus-sendto-empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:50 status unpacked nautilus-sendto-empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:51 status half-installed nautilus-sendto-empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:51 status half-installed nautilus-sendto-empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:51 status unpacked nautilus-sendto-empathy 2.30.1-0ubuntu1
2010-05-01 19:09:51 status unpacked nautilus-sendto-empathy 2.30.1-0ubuntu1
2010-05-01 19:09:51 upgrade empathy 2.30.0.1-0ubuntu3 2.30.1-0ubuntu1
2010-05-01 19:09:51 status half-configured empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:57 status unpacked empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:58 status half-installed empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:58 status half-installed empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:58 status half-installed empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:58 status half-installed empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:59 status half-installed empathy 2.30.0.1-0ubuntu3
2010-05-01 19:09:59 status unpacked empathy 2.30.1-0ubuntu1
2010-05-01 19:09:59 status unpacked empathy 2.30.1-0ubuntu1
2010-05-01 19:09:59 upgrade empathy-common 2.30.0.1-0ubuntu3 2.30.1-0ubuntu1
2010-05-01 19:09:59 status half-configured empathy-common 2.30.0.1-0ubuntu3
2010-05-01 19:10:00 status unpacked empathy-common 2.30.0.1-0ubuntu3
2010-05-01 19:10:00 status half-installed empathy-common 2.30.0.1-0ubuntu3
2010-05-01 19:10:00 status half-installed empathy-common 2.30.0.1-0ubuntu3
2010-05-01 19:10:12 status half-installed empathy-common 2.30.0.1-0ubuntu3
2010-05-01 19:10:12 status unpacked empathy-common 2.30.1-0ubuntu1
2010-05-01 19:10:12 status unpacked empathy-common 2.30.1-0ubuntu1
2010-05-01 19:10:12 upgrade libevdocument2 2.30.0-0ubuntu1 2.30.1-0ubuntu2
2010-05-01 19:10:12 status half-configured libevdocument2 2.30.0-0ubuntu1
2010-05-01 19:10:12 status unpacked libevdocument2 2.30.0-0ubuntu1
2010-05-01 19:10:12 status half-installed libevdocument2 2.30.0-0ubuntu1
2010-05-01 19:10:13 status half-installed libevdocument2 2.30.0-0ubuntu1
2010-05-01 19:10:13 status unpacked libevdocument2 2.30.1-0ubuntu2
2010-05-01 19:10:13 status unpacked libevdocument2 2.30.1-0ubuntu2
2010-05-01 19:10:13 upgrade libevview2 2.30.0-0ubuntu1 2.30.1-0ubuntu2
2010-05-01 19:10:13 status half-configured libevview2 2.30.0-0ubuntu1
2010-05-01 19:10:14 status unpacked libevview2 2.30.0-0ubuntu1
2010-05-01 19:10:14 status half-installed libevview2 2.30.0-0ubuntu1
2010-05-01 19:10:14 status half-installed libevview2 2.30.0-0ubuntu1
2010-05-01 19:10:15 status unpacked libevview2 2.30.1-0ubuntu2
2010-05-01 19:10:15 status unpacked libevview2 2.30.1-0ubuntu2
2010-05-01 19:10:15 upgrade evince 2.30.0-0ubuntu1 2.30.1-0ubuntu2
2010-05-01 19:10:15 status half-configured evince 2.30.0-0ubuntu1
2010-05-01 19:10:21 status unpacked evince 2.30.0-0ubuntu1
2010-05-01 19:10:21 status half-installed evince 2.30.0-0ubuntu1
2010-05-01 19:10:21 status half-installed evince 2.30.0-0ubuntu1
2010-05-01 19:10:21 status half-installed evince 2.30.0-0ubuntu1
2010-05-01 19:10:21 status half-installed evince 2.30.0-0ubuntu1
2010-05-01 19:10:21 status half-installed evince 2.30.0-0ubuntu1
2010-05-01 19:10:27 status half-installed evince 2.30.0-0ubuntu1
2010-05-01 19:10:28 status unpacked evince 2.30.1-0ubuntu2
2010-05-01 19:10:28 status unpacked evince 2.30.1-0ubuntu2
2010-05-01 19:10:28 upgrade libnautilus-extension1 1:2.30.0-0ubuntu4 1:2.30.1-0ubuntu1
2010-05-01 19:10:28 status half-configured libnautilus-extension1 1:2.30.0-0ubuntu4
2010-05-01 19:10:28 status unpacked libnautilus-extension1 1:2.30.0-0ubuntu4
2010-05-01 19:10:28 status half-installed libnautilus-extension1 1:2.30.0-0ubuntu4
2010-05-01 19:10:29 status half-installed libnautilus-extension1 1:2.30.0-0ubuntu4
2010-05-01 19:10:29 status unpacked libnautilus-extension1 1:2.30.1-0ubuntu1
2010-05-01 19:10:29 status unpacked libnautilus-extension1 1:2.30.1-0ubuntu1
2010-05-01 19:10:29 upgrade file-roller 2.30.0-0ubuntu1 2.30.1.1-0ubuntu2
2010-05-01 19:10:29 status half-configured file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:35 status unpacked file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:36 status half-installed file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:36 status half-installed file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:36 status half-installed file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:36 status half-installed file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:36 status half-installed file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:38 status half-installed file-roller 2.30.0-0ubuntu1
2010-05-01 19:10:38 status unpacked file-roller 2.30.1.1-0ubuntu2
2010-05-01 19:10:38 status unpacked file-roller 2.30.1.1-0ubuntu2
2010-05-01 19:10:39 upgrade firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1 3.6.5~hg20100429r34148+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:39 status half-configured firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:39 status unpacked firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:39 status half-installed firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:39 status half-installed firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:39 status half-installed firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 status half-installed firefox-branding 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 status unpacked firefox-branding 3.6.5~hg20100429r34148+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 status unpacked firefox-branding 3.6.5~hg20100429r34148+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 upgrade firefox 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1 3.6.5~hg20100429r34148+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 status half-configured firefox 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 status unpacked firefox 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:40 status half-installed firefox 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:52 status half-installed firefox 3.6.5~hg20100427r34130+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:53 status unpacked firefox 3.6.5~hg20100429r34148+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:53 status unpacked firefox 3.6.5~hg20100429r34148+nobinonly-0ubuntu1~umd1
2010-05-01 19:10:53 upgrade libgtksourceview2.0-common 2.10.0-0ubuntu1 2.10.1-0ubuntu1
2010-05-01 19:10:53 status half-configured libgtksourceview2.0-common 2.10.0-0ubuntu1
2010-05-01 19:10:53 status unpacked libgtksourceview2.0-common 2.10.0-0ubuntu1
2010-05-01 19:10:53 status half-installed libgtksourceview2.0-common 2.10.0-0ubuntu1
2010-05-01 19:10:58 status half-installed libgtksourceview2.0-common 2.10.0-0ubuntu1
2010-05-01 19:10:58 status unpacked libgtksourceview2.0-common 2.10.1-0ubuntu1
2010-05-01 19:10:58 status unpacked libgtksourceview2.0-common 2.10.1-0ubuntu1
2010-05-01 19:10:58 upgrade libgtksourceview2.0-0 2.10.0-0ubuntu1 2.10.1-0ubuntu1
2010-05-01 19:10:58 status half-configured libgtksourceview2.0-0 2.10.0-0ubuntu1
2010-05-01 19:10:58 status unpacked libgtksourceview2.0-0 2.10.0-0ubuntu1
2010-05-01 19:10:58 status half-installed libgtksourceview2.0-0 2.10.0-0ubuntu1
2010-05-01 19:10:58 status half-installed libgtksourceview2.0-0 2.10.0-0ubuntu1
2010-05-01 19:10:59 status unpacked libgtksourceview2.0-0 2.10.1-0ubuntu1
